AgentID,X,Y,Type,Status,PopDensity,TempC,Rain_mm
ac6c2163-8e1f-4686-95ea-b6bf35500442,38.307054,8.613101,ADULT,true,2.08,25.00,0.0000
a6237ae7-705d-41c9-a586-7254e1b5ae0f,38.347514,8.640456,ADULT,true,8.03,25.00,0.0000
d55c09e1-8328-4f7f-b5d0-650e8d865251,38.293752,8.596097,ADULT,true,1.51,25.00,0.0000
350d4c45-f39b-431f-82cf-4462026b653e,38.296007,8.600496,ADULT,true,1.67,25.00,0.0000
c92f51cc-1955-427c-abb8-8efd1e424cfd,38.318907,8.658888,ADULT,true,2.09,25.00,0.0000
09e3b337-f0f6-467d-9282-a2d2f175a40f,38.378825,8.595282,ADULT,true,1.53,25.00,0.0000
ba3cbc01-6c2e-479b-858f-eb73be472da4,38.350929,8.617621,ADULT,true,6.72,25.00,0.0000
0bbb2691-d775-44a6-afb6-df48d6a980f3,38.292535,8.584036,ADULT,true,2.31,25.00,0.0000
d90877bc-3710-40b4-bbce-90ee591038e5,38.335354,8.663529,ADULT,true,5.56,25.00,0.0000
b97e025e-c8d0-4013-9f79-bc3a6eec66bd,38.374222,8.576446,ADULT,true,2.92,25.00,0.0000
3fd99108-1d17-4a14-99ad-fde50088f3cb,38.331352,8.664888,ADULT,true,4.57,25.00,0.0000
88010914-4468-4757-86d5-bc0cf93ab886,38.311813,8.655975,ADULT,true,1.49,25.00,0.0000
e89306d2-a911-4a14-a4c8-7e4e8e580355,38.335221,8.633323,ADULT,true,10.45,25.00,0.0000
c9654203-caba-4d61-aa71-25502d7107c1,38.375590,8.613844,ADULT,true,1.34,25.00,0.0000
68dd7ee6-59c6-43df-9f69-f0794e32d455,38.340096,8.668637,ADULT,true,8.05,25.00,0.0000
72c7b6dc-9def-41f1-a4f0-c747b0244196,38.286994,8.628393,ADULT,true,4.64,25.00,0.0000
658d7fa5-829a-417e-8543-b9ad62a5a8d1,38.368410,8.576275,ADULT,true,3.55,25.00,0.0000
c9c1f76a-5f80-4b7f-9cc4-f0872111d6ca,38.375698,8.595191,ADULT,true,2.01,25.00,0.0000
8f5b58c7-8c9f-4de9-bf52-d3cda002b0a1,38.295850,8.630506,ADULT,true,3.14,25.00,0.0000
acb9dab8-ee70-46a3-b717-23feeb5426d4,38.308268,8.646449,ADULT,true,2.47,25.00,0.0000
898fa4be-3442-4d5f-b145-f177611352bd,38.290554,8.674224,ADULT,true,2.75,25.00,0.0000
6c222c41-7649-4533-9480-0baf84687803,38.347874,8.592088,ADULT,true,9.73,25.00,0.0000
05706fe2-9cd1-4ae8-8e35-c539caa41660,38.327639,8.598410,ADULT,true,2.81,25.00,0.0000
6b74ba73-1d89-4a9b-97e4-3ce019837920,38.377019,8.586931,ADULT,true,4.26,25.00,0.0000
e7d26d61-9e76-40ea-95e9-f64e5b98d299,38.353998,8.617484,ADULT,true,4.61,25.00,0.0000
b02f53cf-bfcd-4a54-aea0-ff8c64aa04d3,38.335800,8.638397,ADULT,true,14.56,25.00,0.0000
