AgentID,Layer,AgentType,X,Y,Alive,Age,Stage,Energy,Gravid,Elevation,Buildings,Population,tp,t2m,Nearby_Mosquitoes,Nearby_WaterTanks
d94a983f-5f8f-4333-9788-8383422b048a,Mosquitoes,LivingAgent,38.371283,8.643867,true,354,ADULT,0.515,false,2631.0000,0.0000,1.67,0.3053,21.58,4,0
54530aed-12ce-4434-af6d-791ed95d1a4d,Mosquitoes,LivingAgent,38.337653,8.626479,true,492,ADULT,0.931,false,2573.0000,16.0000,14.33,0.2160,20.28,2,0
6f1ddfc0-8077-40d6-9e08-069f9d3413d0,Mosquitoes,LivingAgent,38.334357,8.651524,true,678,ADULT,0.897,false,2598.0000,5.0000,5.34,0.3242,21.71,6,0
bd95bf66-bd72-43ba-b7be-ef01d6d4c052,Mosquitoes,LivingAgent,38.368256,8.612974,true,823,ADULT,0.653,false,2105.0000,0.0000,1.79,0.2160,20.28,6,0
01601ca6-726f-4f09-ae2a-e8c94eb4cd2e,Mosquitoes,LivingAgent,38.311186,8.635070,true,595,ADULT,0.673,true,2547.0000,0.0000,2.27,0.3352,21.67,2,0
256aaece-c50c-4be0-8990-ceef45b67aad,Mosquitoes,LivingAgent,38.376314,8.597971,true,787,ADULT,0.666,false,1971.0000,0.0000,1.56,0.2297,20.37,4,0
c9632809-3343-4d0e-bc16-d0997647c07f,Mosquitoes,LivingAgent,38.310265,8.613111,true,344,ADULT,0.708,true,2718.0000,0.0000,2.14,0.2516,21.33,4,0
049c530e-c623-467f-bb1e-ed925c5651b3,Mosquitoes,LivingAgent,38.359791,8.639750,true,496,ADULT,0.788,false,2455.0000,0.0000,2.09,0.3508,21.92,3,0
e06fc09c-081d-4d0e-9048-ba2019198438,Mosquitoes,LivingAgent,38.355189,8.649703,true,808,ADULT,0.896,false,2499.0000,0.0000,1.44,0.3508,21.92,6,0
1ee33257-996f-4bdb-8818-081433fa822b,Mosquitoes,LivingAgent,38.327020,8.644211,true,490,ADULT,0.951,true,2601.0000,0.0000,4.35,0.3650,21.85,3,0
daf62deb-d8fa-4d1d-b38d-a0c64edda5de,Mosquitoes,LivingAgent,38.333310,8.588709,true,731,ADULT,0.655,false,2505.0000,0.0000,2.45,0.2707,20.67,6,0
a3cd360c-bd70-4329-8245-cf044f8738a7,Mosquitoes,LivingAgent,38.319149,8.663180,true,404,ADULT,0.569,true,2469.0000,0.0000,1.71,0.3858,21.99,6,0
47060db4-1c2d-4186-88cf-3ba376461c41,Mosquitoes,LivingAgent,38.361690,8.590918,true,343,ADULT,0.660,false,2242.0000,0.0000,1.66,0.2762,20.70,3,0
3747c60e-d018-4c92-9020-000bc4810497,Mosquitoes,LivingAgent,38.362361,8.633425,true,426,ADULT,0.788,false,2403.0000,1.0000,2.51,0.3816,22.17,5,0
0186f4fe-b3e1-4f1d-8200-b435d1de16fc,Mosquitoes,LivingAgent,38.314135,8.608786,true,799,ADULT,0.543,false,2615.0000,0.0000,1.76,0.3074,21.59,3,0
43580a9a-682a-4d89-88c5-d7e0d470549e,Mosquitoes,LivingAgent,38.355320,8.587872,true,527,ADULT,0.614,false,2298.0000,0.0000,2.62,0.2762,20.70,4,0
c58b3709-2b72-4810-9b95-88b2698da5cb,Mosquitoes,LivingAgent,38.374252,8.628018,true,510,ADULT,0.696,true,2471.0000,0.0000,1.48,0.3816,22.17,1,0
2c33d202-9b63-400e-a25f-2252f844f53d,Mosquitoes,LivingAgent,38.339060,8.594471,true,825,ADULT,0.827,false,2586.0000,5.0000,3.93,0.2762,20.70,10,0
d4b90fb0-d751-4880-8917-343bd73bbdc5,Mosquitoes,LivingAgent,38.364187,8.644196,true,787,ADULT,0.642,false,2503.0000,0.0000,1.30,0.3939,22.31,8,0
5c10dd4d-1ce4-4da3-97f6-62fa1c480352,Mosquitoes,LivingAgent,38.370584,8.631484,true,385,ADULT,0.927,false,2521.0000,1.0000,1.73,0.3958,22.20,4,0
8de8a5cf-9090-47e4-a59b-a250b7f013ba,Mosquitoes,LivingAgent,38.281978,8.579034,true,373,ADULT,0.587,false,2519.0000,0.0000,2.23,0.3272,21.60,8,0
