TickCount,AgentID,Layer,AgentType,X,Y,Alive,Age,Stage,Energy,Gravid,EggCount,LarvaCount,waterVolume,Resting,RestingDuration,TimeWithoutRest,Elevation,Buildings,Population,tp,t2m,Day
100,7e4b307f-bf31-439a-a877-5c3916cd2ae1,Mosquitoes,LivingAgent,9.621156,41.854868,1,67,LARVA,0.628,0,0,0,0.0,0,0,0,2021.6172,0.6378,0.53,0.0001,29.54,1.0416666666666667
200,ae87a396-74e7-4d05-bd0d-cd6d7726f18b,Mosquitoes,LivingAgent,9.605147,41.857841,1,188,PUPA,0.731,0,0,0,0.0,0,0,0,1818.774,0.98,0.87,0.2683,24.55,2.0833333333333335
500,d1d6146c-763f-48cb-b004-181b809538d7,Mosquitoes,LivingAgent,9.616565,41.82909,1,740,ADULT,0.77,0,0,0,0.0,0,5,50,1997.2821,0.3277,0.43,0.0,28.69,5.208333333333333
400,7071c750-4396-49f0-bea7-f3d08390523f,Mosquitoes,LivingAgent,9.610223,41.830261,1,780,ADULT,0.372,1,0,0,0.0,0,0,0,2131.3498,0.3881,0.49,0.0,25.84,4.166666666666667
300,b1287e5f-ce96-4155-b0ae-2a916b6a42c0,Mosquitoes,LivingAgent,9.574755,41.864686,1,805,LARVA,0.637,0,0,0,0.0,0,0,0,2439.0693,0.3209,0.33,0.0,24.01,3.125
100,a112288f-0a53-4e2b-84a1-dc5bd96e0adf,Mosquitoes,LivingAgent,9.594742,41.839642,1,206,PUPA,0.515,0,0,0,0.0,0,0,0,2343.5857,0.5609,0.61,0.0,27.41,1.0416666666666667
100,df855a6e-e386-4a31-9548-64ac244c9c30,Mosquitoes,LivingAgent,9.596794,41.851369,1,217,LARVA,0.875,0,0,0,0.0,0,0,0,2125.7417,0.7837,0.65,0.0,24.44,1.0416666666666667
200,37bc6781-b736-448f-913d-c12c29df6ce5,Mosquitoes,LivingAgent,9.614853,41.859337,1,146,PUPA,0.761,0,0,0,0.0,0,0,0,1957.3269,0.7764,0.66,0.286,25.16,2.0833333333333335
100,c6f166dd-6077-410e-8d00-fd530622c18f,Mosquitoes,LivingAgent,9.600352,41.828848,1,595,LARVA,0.701,0,0,0,0.0,0,0,78,2158.0126,0.372,0.47,0.0,28.89,1.0416666666666667
300,8beaa6a1-c431-49df-a1db-f8a370be0218,Mosquitoes,LivingAgent,9.587306,41.867602,1,894,LARVA,0.702,0,0,0,0.0,0,0,0,2070.316,0.5335,0.61,0.0,27.58,3.125
400,4b7be72a-2c36-432c-92c6-2f600a9a5361,Mosquitoes,LivingAgent,9.578287,41.838794,1,1070,ADULT,0.392,0,0,0,0.0,0,0,0,1572.7146,0.2954,0.32,0.0,28.34,4.166666666666667
400,6975c31a-96a4-41b2-a257-4aec7f10c00b,Mosquitoes,LivingAgent,9.595785,41.883991,1,959,ADULT,0.405,0,0,0,0.0,0,0,0,2055.0574,0.3675,0.37,0.0,25.84,4.166666666666667
300,ac009f48-b0c8-42d4-8a30-ac041214006b,Mosquitoes,LivingAgent,9.608572,41.875247,1,1377,ADULT,0.434,0,0,0,0.0,1,3,0,1708.7056,0.5921,0.6,0.0,29.43,3.125
200,a26a4062-dad9-45d1-8119-9bcc7627bf35,Mosquitoes,LivingAgent,9.592164,41.862411,1,727,LARVA,0.89,0,0,0,0.0,0,0,0,1828.3981,0.6954,0.63,0.2222,24.68,2.0833333333333335
300,8c6d6db5-1399-4617-86a5-cba56f93b8a6,Mosquitoes,LivingAgent,9.571656,41.856347,1,629,ADULT,0.548,1,0,0,0.0,1,1,0,2089.8578,0.2597,0.25,0.0,25.18,3.125
300,0f39cd21-0a35-42a6-896c-18572c862296,Mosquitoes,LivingAgent,9.620602,41.856787,1,65,PUPA,0.713,0,0,0,0.0,0,0,0,2057.4203,0.66,0.71,0.0,23.97,3.125
200,b945f6cb-b491-4008-a8ac-6cee3a642084,Mosquitoes,LivingAgent,9.623013,41.849524,1,843,ADULT,0.643,1,0,0,0.0,0,0,0,1838.9526,0.5692,0.58,0.2506,24.47,2.0833333333333335
200,340251bf-b493-41d6-809c-b5c2e518ae81,Mosquitoes,LivingAgent,9.599547,41.84087,1,879,LARVA,0.691,0,0,0,0.0,0,0,0,2474.9897,0.6205,0.59,0.2772,24.58,2.0833333333333335
100,63a5b0cb-3503-4d68-8d85-f50006314f99,Mosquitoes,LivingAgent,9.593725,41.867991,1,994,ADULT,0.365,0,0,0,0.0,1,0,0,1695.1289,0.6606,0.59,0.0001,29.54,1.0416666666666667
100,30ed34af-ede1-427c-b796-59f83958b72b,Mosquitoes,LivingAgent,9.606157,41.868051,1,537,ADULT,0.769,1,0,0,0.0,0,0,0,1538.6933,0.7592,0.67,0.0,24.44,1.0416666666666667
100,200cd208-fe85-4090-a157-26acc4a4db41,Mosquitoes,LivingAgent,9.584321,41.871132,1,1035,ADULT,0.504,0,0,0,0.0,0,0,0,2208.687,0.4508,0.46,0.0003,30.82,1.0416666666666667
400,6b529759-3cbd-4a45-9528-cd874336b035,Mosquitoes,LivingAgent,9.600155,41.852066,1,671,LARVA,0.755,0,0,0,0.0,0,0,0,2150.2136,0.8438,0.75,0.0,27.11,4.166666666666667
200,6d117820-0c1f-4ac3-9dbe-6eacee835571,Mosquitoes,LivingAgent,9.626064,41.843038,1,590,LARVA,0.834,0,0,0,0.0,0,0,0,1588.8997,0.4396,0.53,0.2411,24.54,2.0833333333333335
100,f3651258-642e-483d-9ebb-fbf4e4ff0c00,Mosquitoes,LivingAgent,9.628166,41.859532,0,931,ADULT,0.36,0,0,0,0.0,0,0,97,2260.0016,0.4964,0.43,0.0,23.69,1.0416666666666667
300,346c23c3-5402-417c-ab27-5c1eed717c8d,Mosquitoes,LivingAgent,9.588211,41.8784,1,811,LARVA,0.8,0,0,0,0.0,0,0,90,2010.9373,0.4033,0.31,0.0,26.94,3.125
300,ccd21984-7b05-4789-81ab-fc40db5830e3,Mosquitoes,LivingAgent,9.62492,41.866209,1,574,ADULT,0.642,1,0,0,0.0,0,0,66,2381.0282,0.5167,0.57,0.0,25.18,3.125
500,9ec17bc8-2dc5-406c-bede-42d77b44ce4e,Mosquitoes,LivingAgent,9.622323,41.862366,1,1380,ADULT,0.345,1,0,0,0.0,0,5,70,2224.3091,0.6015,0.5,0.0,29.32,5.208333333333333
200,f5df123a-fb8a-4b8d-abe1-ab2c8d738144,Mosquitoes,LivingAgent,9.596149,41.86252,1,518,ADULT,0.495,0,0,0,0.0,0,0,0,1706.5249,0.7668,0.7,0.2595,24.51,2.0833333333333335
300,8aee0619-ce9a-4401-8741-6c5cda7683a3,Mosquitoes,LivingAgent,9.596312,41.872308,1,719,LARVA,0.819,0,0,0,0.0,0,0,0,1653.9963,0.6055,0.5,0.0,25.75,3.125
300,5c76c426-d9ae-42d0-896e-b7c693936949,Mosquitoes,LivingAgent,9.609015,41.860241,1,47,PUPA,0.63,0,0,0,0.0,0,0,25,1785.7996,0.9,0.76,0.0,27.58,3.125
100,84875ecd-f8c7-4ec0-b77e-02f9119e8c99,Mosquitoes,LivingAgent,9.616472,41.86811,1,853,ADULT,0.419,1,0,0,0.0,0,0,0,2008.3779,0.6462,0.59,0.0,27.41,1.0416666666666667
100,e66caf87-fedd-47f8-be95-1a548c7c424b,Mosquitoes,LivingAgent,9.585304,41.856308,1,1676,ADULT,0.329,0,0,0,0.0,0,0,0,2031.2397,0.5595,0.62,0.0003,30.82,1.0416666666666667
200,2c92f086-ebe1-4b25-9345-d24946ba8eca,Mosquitoes,LivingAgent,9.613501,41.852674,1,714,ADULT,0.396,0,0,0,0.0,0,0,0,2039.4058,0.7941,0.64,0.2772,24.58,2.0833333333333335
300,9d752e3b-d02e-440d-b842-7cdafc2123a8,Mosquitoes,LivingAgent,9.601258,41.884656,1,409,PUPA,0.6,0,0,0,0.0,0,0,54,2072.291,0.3947,0.34,0.0,29.43,3.125
100,0c458984-0526-4033-a047-d9a13737ca20,Mosquitoes,LivingAgent,9.622473,41.883037,1,806,ADULT,0.748,0,0,0,0.0,1,2,0,1986.6953,0.3066,0.29,0.0003,30.82,1.0416666666666667
100,87e8e3a1-0068-4340-adeb-bbc7f96fca42,Mosquitoes,LivingAgent,9.622641,41.859703,1,1622,ADULT,0.563,1,0,0,0.0,0,0,0,2160.3361,0.6153,0.53,0.0003,30.82,1.0416666666666667
200,8006fae5-cab0-49db-8c4e-7cc23f442a7e,Mosquitoes,LivingAgent,9.570098,41.845163,1,168,ADULT,0.771,0,0,0,0.0,1,3,0,1622.0835,0.1778,0.27,0.2411,24.54,2.0833333333333335
300,5e925af0-220d-47a2-bab4-aa3e1a635ecc,Mosquitoes,LivingAgent,9.581756,41.839278,1,1860,ADULT,0.672,0,0,0,0.0,1,0,0,1665.6483,0.344,0.29,0.0,24.03,3.125
400,38eaa9ae-7a11-461b-ba01-8de6c44ee557,Mosquitoes,LivingAgent,9.633025,41.870066,1,949,ADULT,0.745,1,0,0,0.0,0,0,80,2481.64,0.3197,0.41,0.0,27.11,4.166666666666667
400,909c0b29-a9c1-45ff-91c5-14ca45c5fcb9,Mosquitoes,LivingAgent,9.604068,41.837119,1,922,LARVA,0.762,0,0,0,0.0,0,0,79,2462.8444,0.5595,0.55,0.0,27.73,4.166666666666667
300,474cf8b7-9026-4d31-bb0a-40fccf426604,Mosquitoes,LivingAgent,9.627964,41.87646,1,150,ADULT,0.69,0,0,0,0.0,0,0,0,2321.0524,0.347,0.33,0.0,26.31,3.125
400,8a3ee0e5-9ea0-431c-9dc5-6d638549b2b8,Mosquitoes,LivingAgent,9.599246,41.839054,1,196,LARVA,0.869,0,0,0,0.0,0,0,0,2471.0395,0.5824,0.48,0.0,27.73,4.166666666666667
300,06713949-4fa4-4547-bb43-5ea8da38f511,Mosquitoes,LivingAgent,9.635806,41.849793,1,712,LARVA,0.667,0,0,0,0.0,0,0,0,1790.5118,0.3014,0.35,0.0,23.99,3.125
300,a7ee4e8f-c365-41a6-ae73-8b2b0434c7ee,Mosquitoes,LivingAgent,9.597886,41.872156,1,136,LARVA,0.629,0,0,0,0.0,0,0,0,1601.5229,0.6242,0.58,0.0,28.21,3.125
100,4cbb91df-a4b1-458d-80b3-d4203a782d3a,Mosquitoes,LivingAgent,9.586394,41.866796,1,162,ADULT,0.721,0,0,0,0.0,0,0,0,2117.6232,0.5259,0.46,0.0003,30.82,1.0416666666666667
100,116e54a0-84ac-4f64-802d-e8db9ea1aa97,Mosquitoes,LivingAgent,9.585527,41.85297,1,1243,ADULT,0.362,0,0,0,0.0,0,0,0,1964.693,0.5488,0.44,0.0,22.91,1.0416666666666667
400,2b9cf38e-eef7-46db-8b78-5e0173b49cbc,Mosquitoes,LivingAgent,9.607223,41.827777,1,636,ADULT,0.326,0,0,0,0.0,1,2,0,2100.3614,0.3588,0.31,0.0,28.96,4.166666666666667
100,9e1fe6de-b88c-4b7a-91d0-17d2ce46bf7e,Mosquitoes,LivingAgent,9.623059,41.836015,1,490,ADULT,0.68,0,0,0,0.0,0,0,0,1703.0184,0.3904,0.35,0.0003,30.82,1.0416666666666667
300,d0b001f6-e9c6-42ae-bea8-f3e9289d17ba,Mosquitoes,LivingAgent,9.621485,41.828947,1,1073,ADULT,0.548,0,0,0,0.0,0,0,43,1920.1292,0.2831,0.24,0.0,23.99,3.125
400,d5ee60fa-4803-4cc8-8950-6a05f6311ea5,Mosquitoes,LivingAgent,9.606401,41.830803,1,146,PUPA,0.787,0,0,0,0.0,0,0,0,2233.697,0.4197,0.49,0.0,26.47,4.166666666666667
100,0deca1cc-a29e-4fd5-b8c4-bff8d259f52e,Mosquitoes,LivingAgent,9.591776,41.886005,1,1,PUPA,0.603,0,0,0,0.0,0,0,0,2059.4849,0.2932,0.33,0.0001,29.54,1.0416666666666667
